Serial,Numero_Parte,Prueba,Limit_Inf,Limit_Sup,Salida_Real,Tiempo,Estatus
261661595,7371-0199-30,Main_Continuity Test_F13 JC_19,,,0.00059575,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F34 JC_16,,,-0.004170126,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F28 JC_17,,,-0.004765857,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F01 JC_48_F01 JC_48,,,-0.032765273,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F01 JC_48_Set Output for ELoad,,,,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F01 JC_48_Delay,,,,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F01 JC_48_Measure Voltaje in ELoad,,,12.66160011,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F01 JC_48_Clear Output for ELoad,,,,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F2 JC_37,,,0.00297875,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F15R JC_35,,,-0.010723179,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F15L JC_27,,,-0.010127448,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F59 JB1_46_F59 JB1_46,,,-0.001787197,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F59 JB1_46_Set Output for ELoad,,,,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F59 JB1_46_Delay,,,,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F59 JB1_46_Measure Voltaje in ELoad,,,12.79590034,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F59 JB1_46_Clear Output for ELoad,,,,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F90 JB1_15,,,0.004766,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F65 JB1_27,,,0.037532248,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F84 JB1_40,,,0.00059575,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F68 JB1_34,,,0.002383,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F76 JB1_42,,,0.008340498,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F62 JB2_5,,,0,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F83 JB2_27,,,-0.001191465,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F74 JB2_33,,,-0.007148786,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F66R JB2_24,,,-0.010127448,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_F66L JB2_32,,,0.005957499,23:57:35,Pasa
261661595,7371-0199-30,Main_Continuity Test_Electronic Load Input Off,,,,23:57:35,Pasa
261661595,7371-0199-30,Main_Voltage Drop Test_Relays Off Check_Read Channels Milvus 1_Check JC13 F12 K2,0,4,0.02,23:57:35,Pasa
